Name,Size,Type,Environment
Aarakocra,medium,humanoid,mountain
Aarakocra,medium,humanoid,planar
Aarakocra Captain,medium,humanoid,mountain
Aarakocra Captain,medium,humanoid,planar
Aarakocra Priest of Aerdrie,medium,humanoid,mountain
Aarakocra Priest of Aerdrie,medium,humanoid,planar
Aarakocra Sharpshooter,medium,humanoid,mountain
Aarakocra Sharpshooter,medium,humanoid,planar
Abaasy,huge,giant,badlands
Abjurer,medium,humanoid,urban
Aboleth,large,aberration,aquatic
Aboleth,large,aberration,coast
Aboleth (A5E),large,aberration,caverns
Aboleth (A5E),large,aberration,plane of water
Aboleth (A5E),large,aberration,sewer
Aboleth (A5E),large,aberration,water
Aboleth Sovereign,huge,aberration,aquatic
Aboleth Sovereign,huge,aberration,coast
Aboleth Thrall (A5E),medium,humanoid,caverns
Aboleth Thrall (A5E),medium,humanoid,settlement
Aboleth Thrall (A5E),medium,humanoid,water
"Aboleth, Nihileth",large,undead,any
"Aboleth, Nihilethic Zombie",medium,undead,aquatic
"Aboleth, Nihilethic Zombie",medium,undead,ruins
"Aboleth, Nihilethic Zombie",medium,undead,underground
Abominable Beauty,medium,fey,any
Abominable Snowman (A5E),large,monstrosity,tundra
Abominable Yeti,huge,monstrosity,arctic
Abominable Yeti,huge,monstrosity,cave
Abominable Yeti,huge,monstrosity,mountain
Accursed Guardian Naga (A5E),large,monstrosity,astral plane
Accursed Guardian Naga (A5E),large,monstrosity,caverns
Accursed Guardian Naga (A5E),large,monstrosity,desert
Accursed Guardian Naga (A5E),large,monstrosity,forest
Accursed Guardian Naga (A5E),large,monstrosity,jungle
Accursed Guardian Naga (A5E),large,monstrosity,mountains
Accursed Guardian Naga (A5E),large,monstrosity,ruin
Accursed Guardian Naga (A5E),large,monstrosity,temple
Accursed Spirit Naga (A5E),large,monstrosity,astral plane
Accursed Spirit Naga (A5E),large,monstrosity,caverns
Accursed Spirit Naga (A5E),large,monstrosity,desert
Accursed Spirit Naga (A5E),large,monstrosity,forest
Accursed Spirit Naga (A5E),large,monstrosity,jungle
Accursed Spirit Naga (A5E),large,monstrosity,mountains
Accursed Spirit Naga (A5E),large,monstrosity,ruin
Accursed Spirit Naga (A5E),large,monstrosity,temple
Acolyte,medium,humanoid,arctic
Acolyte,medium,humanoid,desert
Acolyte,medium,humanoid,dungeon
Acolyte,medium,humanoid,forest
Acolyte,medium,humanoid,grassland
Acolyte,medium,humanoid,mountain
Acolyte,medium,humanoid,swamp
Acolyte,medium,humanoid,underground
Acolyte,medium,humanoid,urban
Acolyte (A5E),medium,humanoid,desert
Acolyte (A5E),medium,humanoid,hills
Acolyte (A5E),medium,humanoid,settlement
Acolyte (A5E),medium,humanoid,temple
Adamanticore (A5E),large,monstrosity,desert
Adamanticore (A5E),large,monstrosity,forest
Adamanticore (A5E),large,monstrosity,grassland
Adamanticore (A5E),large,monstrosity,hills
Adamanticore (A5E),large,monstrosity,jungle
Adamanticore (A5E),large,monstrosity,mountains
Adamanticore (A5E),large,monstrosity,tundra
Adult Amethyst Dragon (A5E),huge,dragon,caverns
Adult Black Dragon,huge,dragon,swamp
Adult Black Dragon (A5E),huge,dragon,swamp
Adult Black Dragon Lich (A5E),huge,undead,swamp
Adult Black Dragon Spellcaster (A5E),gargantuan,dragon,swamps
Adult Black Dragon Spellcaster (A5E),gargantuan,dragon,ruins
Adult Blue Dracolich,huge,undead,desert
Adult Blue Dracolich,huge,undead,dungeon
Adult Blue Dragon,huge,dragon,desert
Adult Blue Dragon (A5E),huge,dragon,desert
Adult Blue Dragon Spellcaster (A5E),huge,dragon,caves
Adult Blue Dragon Spellcaster (A5E),huge,dragon,coastal
Adult Blue Dragon Spellcaster (A5E),huge,dragon,desert
Adult Blue Dragon Spellcaster (A5E),huge,dragon,oasis
Adult Brass Dragon (A5E),huge,dragon,desert
Adult Brass Dragon Spellcaster (A5E),huge,dragon,caves
Adult Bronze Dragon,huge,dragon,coast
Adult Bronze Dragon (A5E),huge,dragon,water
Adult Bronze Dragon Spellcaster (A5E),huge,dragon,caves
Adult Bronze Dragon Spellcaster (A5E),huge,dragon,aquatic
Adult Bronze Dragon Spellcaster (A5E),huge,dragon,coastal
Adult Cave Dragon,huge,dragon,ruins
Adult Cave Dragon,huge,dragon,underground
Adult Copper Dragon,huge,dragon,cave
Adult Copper Dragon,huge,dragon,desert
Adult Copper Dragon,huge,dragon,grassland
Adult Copper Dragon (A5E),huge,dragon,hills
Adult Copper Dragon (A5E),huge,dragon,mountains
Adult Copper Dragon Spellcaster (A5E),huge,dragon (shapechanger),mountains
Adult Earth Dragon (A5E),huge,dragon,desert
Adult Earth Dragon (A5E),huge,dragon,hills
Adult Earth Dragon (A5E),huge,dragon,mountains
Adult Earth Dragon Spellcaster (A5E),gargantuan,dragon,mountains
Adult Earth Dragon Spellcaster (A5E),gargantuan,dragon,hills
Adult Earth Dragon Spellcaster (A5E),gargantuan,dragon,deserts
Adult Emerald Dragon (A5E),huge,dragon,caverns
Adult Emerald Dragon (A5E),huge,dragon,ruin
Adult Emerald Dragon (A5E),huge,dragon,sewer
Adult Flame Dragon,huge,dragon,mountains
Adult Gold Dragon,huge,dragon,mountain
Adult Gold Dragon,huge,dragon,ruins
Adult Gold Dragon (A5E),huge,dragon,astral plane
Adult Gold Dragon (A5E),huge,dragon,grassland
Adult Gold Dragon (A5E),huge,dragon,ruin
Adult Gold Dragon (A5E),huge,dragon,water
Adult Gold Dragon Spellcaster (A5E),huge,dragon (shapechanger),ruins
Adult Green Dragon,huge,dragon,forest
Adult Green Dragon (A5E),huge,dragon,forest
Adult Green Dragon (A5E),huge,dragon,jungle
Adult Green Dragon Spellcaster (A5E),huge,dragon,forests
Adult Imperial Forest Dragon,huge,dragon,forests
Adult Imperial Sea Dragon,huge,dragon,aquatic
Adult Imperial Sea Dragon,huge,dragon,coastal
Adult Imperial Underworld Dragon,huge,dragon,underground
Adult Imperial Underworld Dragon,huge,dragon,volcano
Adult Imperial Underworld Dragon,huge,dragon,cave
Adult Leucrotta,large,monstrosity,forest
Adult Mithral Dragon,huge,dragon,mountains
Adult Red Dragon,huge,dragon,mountain
Adult Red Dragon (A5E),huge,dragon,mountains
Adult Red Dragon Spellcaster (A5E),huge,dragon,volcano
Adult Red Dragon Spellcaster (A5E),huge,dragon,mountains
Adult River Dragon (A5E),huge,dragon,grassland
Adult River Dragon (A5E),huge,dragon,water
Adult River Dragon Spellcaster (A5E),huge,dragon,rivers
Adult Sapphire Dragon (A5E),huge,dragon,caverns
Adult Sea Dragon,huge,dragon,aquatic
Adult Shadow Dragon Spellcaster (A5E),huge,dragon,swamps
Adult Shadow Dragon Spellcaster (A5E),huge,dragon,ruins
Adult Silver Dragon,huge,dragon,arctic
Adult Silver Dragon,huge,dragon,mountain
Adult Silver Dragon Spellcaster (A5E),huge,dragon (shapechanger),caves
Adult Silver Dragon Spellcaster (A5E),huge,dragon (shapechanger),mountains
Adult Void Dragon,huge,dragon,badlands
Adult Void Dragon,huge,dragon,mountains
Adult White Dragon (A5E),huge,dragon,tundra
Agathion,medium,celestial,planar
Aghoy,large,plant,forests
Ahu-nixta mechanon,medium,construct,any
Ahu-nixta mechanon,medium,construct,planar
Air Elemental,large,elemental,arctic
Air Elemental,large,elemental,cave
Air Elemental,large,elemental,coast
Air Elemental,large,elemental,desert
Air Elemental,large,elemental,dungeon
Air Elemental,large,elemental,forest
Air Elemental,large,elemental,grassland
Air Elemental,large,elemental,mountain
Air Elemental,large,elemental,planar
Air Elemental,large,elemental,ruins
Air Elemental,large,elemental,swamp
Air Elemental,large,elemental,underground
Air Elemental Myrmidon,medium,elemental,arctic
Air Elemental Myrmidon,medium,elemental,cave
Air Elemental Myrmidon,medium,elemental,coast
Air Elemental Myrmidon,medium,elemental,desert
Air Elemental Myrmidon,medium,elemental,dungeon
Air Elemental Myrmidon,medium,elemental,forest
Air Elemental Myrmidon,medium,elemental,grassland
Air Elemental Myrmidon,medium,elemental,mountain
Air Elemental Myrmidon,medium,elemental,planar
Air Elemental Myrmidon,medium,elemental,ruins
Air Elemental Myrmidon,medium,elemental,swamp
Air Elemental Myrmidon,medium,elemental,underground
Akanka,medium,fey,desert
Akanka,medium,fey,underground
Akanka,medium,fey,urban
Aklea (A5E),gargantuan,celestial,astral plane
Alabroza,small,monstrosity,farmland
"Alabroza, bloodfiend",small,fiend,farmland
Alawig,tiny,elemental,plains
Alawig,tiny,elemental,forests
Alazai,large,elemental,badlands
Alazai,large,elemental,desert
Alchemist (A5E),medium,humanoid,desert
Alchemist (A5E),medium,humanoid,forest
Alchemist (A5E),medium,humanoid,hills
Alchemist (A5E),medium,humanoid,jungle
Alchemist (A5E),medium,humanoid,laboratory
Alchemist (A5E),medium,humanoid,settlement
Alchemist (A5E),medium,humanoid,swamp
Alehouse Drake,tiny,dragon,urban
Algoid,medium,plant,swamp
Alhoon,medium,undead,underground
"Alliumite, husker",medium,plant,farmland
"Alliumite, husker",medium,plant,grassland
"Alliumite, rapscallion",small,plant,farmland
"Alliumite, rapscallion",small,plant,urban
Allosaurus,large,beast,coast
Allosaurus,large,beast,grassland
Allosaurus,large,beast,swamp
Alpha Werewolf (A5E),medium,humanoid,feywild
Alpha Werewolf (A5E),medium,humanoid,forest
Alpha Werewolf (A5E),medium,humanoid,hills
Alpha Werewolf (A5E),medium,humanoid,ruin
Alpha Werewolf (A5E),medium,humanoid,settlement
Alpha Werewolf (A5E),medium,humanoid,shadowfell
Alpine creeper,huge,plant,arctic
Alpine creeper,huge,plant,mountains
Alseid,medium,monstrosity,forests
Amethyst Dragon Wyrmling (A5E),medium,dragon,caverns
Amomongo,medium,monstrosity,mountains
Amomongo,medium,monstrosity,caves
Amomongo,medium,monstrosity,forests
Amphibolt,large,monstrosity,swamp
Amphiptere,medium,beast,forests
Ancient Aboleth (A5E),huge,aberration,caverns
Ancient Aboleth (A5E),huge,aberration,plane of water
Ancient Aboleth (A5E),huge,aberration,sewer
Ancient Aboleth (A5E),huge,aberration,water
Ancient Amethyst Dragon (A5E),gargantuan,dragon,caverns
Ancient Black Dragon,gargantuan,dragon,swamp
Ancient Black Dragon (A5E),gargantuan,dragon,swamp
Ancient Black Dragon Spellcaster (A5E),gargantuan,dragon,swamps
Ancient Black Dragon Spellcaster (A5E),gargantuan,dragon,ruins
Ancient Blue Dragon,gargantuan,dragon,desert
Ancient Blue Dragon (A5E),gargantuan,dragon,desert
Ancient Brass Dragon (A5E),gargantuan,dragon,desert
Ancient Brass Dragon Spellcaster (A5E),gargantuan,dragon,caves
Ancient Bronze Dragon,gargantuan,dragon,coast
Ancient Bronze Dragon (A5E),gargantuan,dragon,water
Ancient Bronze Dragon Spellcaster (A5E),gargantuan,dragon,caves
Ancient Bronze Dragon Spellcaster (A5E),gargantuan,dragon,aquatic
Ancient Bronze Dragon Spellcaster (A5E),gargantuan,dragon,coastal
Ancient Copper Dragon,gargantuan,dragon,cave
Ancient Copper Dragon,gargantuan,dragon,desert
Ancient Copper Dragon,gargantuan,dragon,grassland
Ancient Copper Dragon Spellcaster (A5E),gargantuan,dragon (shapechanger),mountains
Ancient Earth Dragon Spellcaster (A5E),gargantuan,dragon,mountains
Ancient Earth Dragon Spellcaster (A5E),gargantuan,dragon,hills
Ancient Earth Dragon Spellcaster (A5E),gargantuan,dragon,deserts
Ancient Emerald Dragon (A5E),gargantuan,dragon,caverns
Ancient Emerald Dragon (A5E),gargantuan,dragon,ruin
Ancient Emerald Dragon (A5E),gargantuan,dragon,sewer
Ancient Flame Dragon,gargantuan,dragon,mountains
Ancient Gold Dragon (A5E),gargantuan,dragon,astral plane
Ancient Gold Dragon (A5E),gargantuan,dragon,grassland
Ancient Gold Dragon (A5E),gargantuan,dragon,ruin
Ancient Gold Dragon (A5E),gargantuan,dragon,water
Ancient Gold Dragon Spellcaster (A5E),gargantuan,dragon (shapechanger),ruins
Ancient Green Dragon,gargantuan,dragon,forest
Ancient Green Dragon (A5E),gargantuan,dragon,forest
Ancient Green Dragon (A5E),gargantuan,dragon,jungle
Ancient Green Dragon Spellcaster (A5E),gargantuan,dragon,forests
Ancient Mithral Dragon,gargantuan,dragon,mountains
Ancient Red Dragon,gargantuan,dragon,mountain
Ancient Red Dragon (A5E),gargantuan,dragon,mountains
Ancient River Dragon Spellcaster (A5E),gargantuan,dragon,rivers
Ancient Sapphire Dragon (A5E),gargantuan,dragon,caverns
Ancient Sea Dragon,gargantuan,dragon,aquatic
Ancient Shadow Dragon Spellcaster (A5E),gargantuan,dragon,swamps
Ancient Shadow Dragon Spellcaster (A5E),gargantuan,dragon,ruins
Ancient Silver Dragon (A5E),gargantuan,dragon,feywild
Ancient Silver Dragon (A5E),gargantuan,dragon,mountains
Ancient Void Dragon,gargantuan,dragon,badlands
Ancient Void Dragon,gargantuan,dragon,mountains
Ancient White Dragon,gargantuan,dragon,arctic
Ancient White Dragon,gargantuan,dragon,cave
Ancient White Dragon,gargantuan,dragon,underground
Ancient White Dragon (A5E),gargantuan,dragon,tundra
Ancient White Dragon Spellcaster (A5E),gargantuan,dragon,snow
Ancient Wind Dragon,gargantuan,dragon,mountains
Ancient Wind Dragon,gargantuan,dragon,plains
Androsphinx,large,monstrosity,dungeon
Androsphinx,large,monstrosity,ruins
Angatra,medium,undead,forests
"Angel, archangel hala’ath",huge,celestial,any
"Angel, archangel hala’ath",huge,celestial,planar
"Angel, haladron",tiny,celestial,any
"Angel, haladron",tiny,celestial,planar
"Angel, kalkydra",huge,celestial,planar
"Angel, pelagic deva",medium,celestial,planar
"Angel, psychopomp",medium,celestial,any
"Angel, psychopomp",medium,celestial,planar
"Angel, shrouded",medium,celestial,any
"Angel, shrouded",medium,celestial,planar
"Angel, zirnitran",huge,celestial,mountains
"Angel, zirnitran",huge,celestial,planar
Angler Worm,huge,monstrosity,ruins
Angler Worm,huge,monstrosity,underground
"Animal lord, mammoth queen",huge,fey,arctic
"Animal lord, mammoth queen",huge,fey,grassland
"Animal lord, mammoth queen",huge,fey,hills
Animated Armor,medium,construct,dungeon
